Date,AAPL,AMZN,GOOGL,MSFT,TSLA,BRK_B,META,NVDA,UNH,SP_500,CPI,Total_nonfarm,Total_private,Average_weekly_earnings,FEDFUNDS,GDP
2015-12,0.027502750275027504,-0.09305873379099916,0.020664101467863745,0.06110757479312545,0.02899169724384738,-0.013499480789200366,0.0015117157974300509,0.01506139961532772,0.03561452513966479,-0.014519715918601437,1.83471969623819,262.0,251.0,871.82,0.24,113.05754773857936
2016-01,-0.023376159885795902,-0.11419493505279879,-0.04932598816988647,-0.1514097180563887,-0.20360109932267137,-0.047669172932330854,0.028207547169811272,-0.1663071361940299,-0.056557653405259554,-0.08084577718032221,2.70841659132004,126.0,110.0,877.8,0.34,149.56956583076752
2016-02,-0.06175771971496429,0.021837746597742305,-0.03733176671651365,0.11734766011593377,0.012903429595761066,0.05289752092215393,-0.012753463620515649,-0.03143466554774645,0.08192620387742328,0.028051742344245043,2.53771440127248,237.0,221.0,875.61,0.38,155.86569866915775
2016-03,0.07010710808179166,0.1327689448688829,0.06565880721220539,0.13627736302669874,0.1919901455557548,0.06898620275944801,0.06598513011152425,0.08173285198555955,0.07052023121387277,0.059903550353597276,2.22200455864592,225.0,189.0,875.82,0.36,166.25021553536848
2016-04,-0.10191082802547773,-0.14336492890995264,-0.08358278886951086,0.003674832962138051,0.08197890027666402,0.01992143658810328,0.018482999128160333,0.11133360032038442,0.010953409441530516,0.003900628461505004,3.8254778833095098,153.0,158.0,878.58,0.37,144.60067335750838
2016-05,0.058966565349544,0.059687200766038936,0.06339828438334372,0.2787085321202708,-0.10115640131296579,-0.010385144429161068,0.022598870056497182,0.06956456456456472,0.027010529528460187,0.013664314467473015,3.2805191880404,43.0,17.0,880.3,0.37,132.8379989153271
2016-06,-0.029468044393417513,-0.05180722891566262,-0.06825952241038523,0.01370932754880678,-0.04514671168111481,-0.011675585516714007,-0.04009710363301517,0.00683671893644792,0.04517087667161971,-0.012837300548061327,2.10339046055212,297.0,269.0,881.33,0.38,243.4853553236003
2016-07,0.10922712933753942,0.10324015247776366,0.14342435318569483,0.20671060515278616,0.08325116213551206,0.013219886083960308,0.08703235371064798,0.06664807585052986,0.008316747227750835,0.046141898638317094,2.49016471097936,291.0,249.0,884.42,0.39,236.60693330865496
2016-08,0.02470671880554569,0.014108839619925127,-0.010166601897932922,0.09504894311249831,-0.08786085825747725,0.04101603164688734,0.007621339751303559,0.0020915032679738117,-0.03736341205498754,0.0021808993789278175,2.7425708907920803,176.0,143.0,882.88,0.4,143.51456993818772
2016-09,-0.0013876843018213062,0.0643573727049025,0.017730496453900783,0.09748672107785973,-0.03906277844704071,-0.03819999999999993,0.019347133757961838,0.08610748760761805,0.01926034419626507,-0.007844273910082872,2.49832933493122,249.0,223.0,887.86,0.4,149.06824985018687
